meter_id,energy_import,energy_export,datetime,import_consumption,export_consumption
14381705,1431818.0,496344.0,2025-06-02 07:45:00,0.0,0.739
14381705,1431818.0,497190.0,2025-06-02 08:00:00,0.0,0.846
14381705,1432442.0,497296.0,2025-06-02 08:15:00,0.624,0.106
14381705,1433701.0,497296.0,2025-06-02 08:30:00,1.259,0.0
14381705,1435492.0,497601.0,2025-06-02 09:00:00,0.231,0.305
14381705,1435515.0,497664.0,2025-06-02 09:15:00,0.023,0.063
14381705,1435599.0,497822.0,2025-06-02 09:30:00,0.084,0.158
14381705,1435625.0,498171.0,2025-06-02 09:45:00,0.026,0.349
14381705,1435720.0,498787.0,2025-06-02 10:00:00,0.095,0.616
14381705,1435720.0,499964.0,2025-06-02 10:15:00,0.0,1.177
14381705,1435720.0,501057.0,2025-06-02 10:30:00,0.0,1.093
14381705,1435838.0,501444.0,2025-06-02 10:45:00,0.118,0.387
14381705,1436689.0,501509.0,2025-06-02 11:00:00,0.851,0.065
14381705,1436883.0,502610.0,2025-06-02 11:15:00,0.194,1.101
14381705,1436904.0,504743.0,2025-06-02 11:30:00,0.021,2.133
14381705,1436904.0,507110.0,2025-06-02 11:45:00,0.0,2.367
14381705,1436923.0,509560.0,2025-06-02 12:00:00,0.019,2.45
14381705,1436925.0,511919.0,2025-06-02 12:15:00,0.002,2.359
14381705,1436925.0,514329.0,2025-06-02 12:30:00,0.0,2.41
14381705,1436926.0,516113.0,2025-06-02 12:45:00,0.001,1.784
14381705,1437134.0,517720.0,2025-06-02 13:00:00,0.208,1.607
14381705,1437751.0,518765.0,2025-06-02 13:15:00,0.617,1.045
14381705,1438738.0,519519.0,2025-06-02 13:30:00,0.987,0.754
14381705,1439085.0,522272.0,2025-06-02 13:45:00,0.347,2.753
14381705,1439178.0,525271.0,2025-06-02 14:00:00,0.093,2.999
14381705,1439184.0,528480.0,2025-06-02 14:15:00,0.006,3.209
14381705,1439185.0,531689.0,2025-06-02 14:30:00,0.001,3.209
14381705,1439209.0,534313.0,2025-06-02 14:45:00,0.024,2.624
14381705,1439226.0,535318.0,2025-06-02 15:00:00,0.017,1.005
14381705,1439955.0,535909.0,2025-06-02 15:15:00,0.729,0.591
14381705,1441040.0,536513.0,2025-06-02 15:30:00,1.085,0.604
14381705,1441045.0,539384.0,2025-06-02 15:45:00,0.005,2.871
14381705,1441247.0,539663.0,2025-06-02 16:00:00,0.202,0.279
14381705,1441377.0,540634.0,2025-06-02 16:15:00,0.13,0.971
14381705,1441548.0,540874.0,2025-06-02 16:30:00,0.171,0.24
14381705,1441549.0,543473.0,2025-06-02 16:45:00,0.001,2.599
14381705,1441875.0,544189.0,2025-06-02 17:00:00,0.326,0.716
14381705,1442554.0,544475.0,2025-06-02 17:15:00,0.679,0.286
14381705,1442657.0,547050.0,2025-06-02 17:30:00,0.103,2.575
14381705,1442657.0,550255.0,2025-06-02 17:45:00,0.0,3.205
14381705,1442657.0,553491.0,2025-06-02 18:00:00,0.0,3.236
14381705,1442657.0,556725.0,2025-06-02 18:15:00,0.0,3.234
14381705,1442657.0,559948.0,2025-06-02 18:30:00,0.0,3.223
14381705,1442657.0,562872.0,2025-06-02 18:45:00,0.0,2.924
14381705,1442657.0,565487.0,2025-06-02 19:00:00,0.0,2.615
14381705,1442657.0,567836.0,2025-06-02 19:15:00,0.0,2.349
14381705,1442657.0,569738.0,2025-06-02 19:30:00,0.0,1.902
14381705,1442657.0,571286.0,2025-06-02 19:45:00,0.0,1.548
14381705,1442657.0,572361.0,2025-06-02 20:00:00,0.0,1.075
14381705,1442657.0,572859.0,2025-06-02 20:15:00,0.0,0.498
14381705,1442685.0,572991.0,2025-06-02 20:30:00,0.028,0.132
14381705,1442781.0,572991.0,2025-06-02 20:45:00,0.096,0.0
14381705,1442937.0,572991.0,2025-06-02 21:00:00,0.156,0.0
14381705,1443114.0,572991.0,2025-06-02 21:15:00,0.177,0.0
14381705,1443311.0,572991.0,2025-06-02 21:30:00,0.197,0.0
14381705,1443502.0,572991.0,2025-06-02 21:45:00,0.191,0.0
14381705,1443657.0,572991.0,2025-06-02 22:00:00,0.155,0.0
14381705,1443831.0,572991.0,2025-06-02 22:15:00,0.174,0.0
14381705,1443974.0,572991.0,2025-06-02 22:30:00,0.143,0.0
14381705,1444136.0,572991.0,2025-06-02 22:45:00,0.162,0.0
14381705,1444311.0,572991.0,2025-06-02 23:00:00,0.175,0.0
14381705,1444526.0,572991.0,2025-06-02 23:15:00,0.215,0.0
14381705,1444700.0,572991.0,2025-06-02 23:30:00,0.174,0.0
14381705,1444868.0,572991.0,2025-06-02 23:45:00,0.168,0.0
14381705,1445009.0,572991.0,2025-06-03 00:00:00,0.141,0.0
14381705,1445183.0,572991.0,2025-06-03 00:15:00,0.174,0.0
14381705,1445349.0,572991.0,2025-06-03 00:30:00,0.166,0.0
14381705,1445490.0,572991.0,2025-06-03 00:45:00,0.141,0.0
14381705,1445656.0,572991.0,2025-06-03 01:00:00,0.166,0.0
14381705,1445813.0,572991.0,2025-06-03 01:15:00,0.157,0.0
14381705,1445983.0,572991.0,2025-06-03 01:30:00,0.17,0.0
14381705,1446124.0,572991.0,2025-06-03 01:45:00,0.141,0.0
14381705,1446293.0,572991.0,2025-06-03 02:00:00,0.169,0.0
14381705,1446443.0,572991.0,2025-06-03 02:15:00,0.15,0.0
14381705,1446603.0,572991.0,2025-06-03 02:30:00,0.16,0.0
14381705,1446766.0,572991.0,2025-06-03 02:45:00,0.163,0.0
14381705,1446914.0,572991.0,2025-06-03 03:00:00,0.148,0.0
14381705,1447080.0,572991.0,2025-06-03 03:15:00,0.166,0.0
14381705,1447234.0,572991.0,2025-06-03 03:30:00,0.154,0.0
14381705,1447429.0,572991.0,2025-06-03 03:45:00,0.195,0.0
14381705,1447607.0,572991.0,2025-06-03 04:00:00,0.178,0.0
14381705,1447767.0,572991.0,2025-06-03 04:15:00,0.16,0.0
14381705,1447933.0,572991.0,2025-06-03 04:30:00,0.166,0.0
14381705,1448092.0,572991.0,2025-06-03 04:45:00,0.159,0.0
14381705,1448254.0,572991.0,2025-06-03 05:00:00,0.162,0.0
14381705,1448389.0,572991.0,2025-06-03 05:15:00,0.135,0.0
14381705,1448514.0,572991.0,2025-06-03 05:30:00,0.125,0.0
14381705,1448596.0,572992.0,2025-06-03 05:45:00,0.082,0.001
14381705,1448610.0,573016.0,2025-06-03 06:00:00,0.014,0.024
14381705,1448616.0,573099.0,2025-06-03 06:15:00,0.006,0.083
14381705,1448617.0,573242.0,2025-06-03 06:30:00,0.001,0.143
14381705,1448617.0,573453.0,2025-06-03 06:45:00,0.0,0.211
14381705,1448617.0,573773.0,2025-06-03 07:00:00,0.0,0.32
14381705,1448617.0,574185.0,2025-06-03 07:15:00,0.0,0.412
14381705,1448617.0,574688.0,2025-06-03 07:30:00,0.0,0.503
14381705,1448617.0,575303.0,2025-06-03 07:45:00,0.0,0.615
14381705,1448617.0,576078.0,2025-06-03 08:00:00,0.0,0.775
14381705,1454740.0,624974.0,2025-06-03 16:30:00,0.009,2.618
14381705,1454745.0,627636.0,2025-06-03 16:45:00,0.005,2.662
14381705,1454763.0,630166.0,2025-06-03 17:00:00,0.018,2.53
14381705,1454772.0,632699.0,2025-06-03 17:15:00,0.009,2.533
14381705,1454772.0,635632.0,2025-06-03 17:30:00,0.0,2.933
14381705,1454772.0,638408.0,2025-06-03 17:45:00,0.0,2.776
14381705,1454794.0,640376.0,2025-06-03 18:00:00,0.022,1.968
14381705,1454837.0,642042.0,2025-06-03 18:15:00,0.043,1.666
14381705,1454908.0,642932.0,2025-06-03 18:30:00,0.071,0.89
14381705,1454908.0,644055.0,2025-06-03 18:45:00,0.0,1.123
14381705,1454908.0,645713.0,2025-06-03 19:00:00,0.0,1.658
14381705,1454908.0,647128.0,2025-06-03 19:15:00,0.0,1.415
14381705,1454908.0,648537.0,2025-06-03 19:30:00,0.0,1.409
14381705,1454908.0,649719.0,2025-06-03 19:45:00,0.0,1.182
14381705,1454908.0,649989.0,2025-06-03 20:00:00,0.0,0.27
14381705,1454909.0,650148.0,2025-06-03 20:15:00,0.001,0.159
14381705,1454943.0,650194.0,2025-06-03 20:30:00,0.034,0.046
14381705,1455049.0,650204.0,2025-06-03 20:45:00,0.106,0.01
14381705,1455245.0,650204.0,2025-06-03 21:00:00,0.196,0.0
14381705,1455462.0,650204.0,2025-06-03 21:15:00,0.217,0.0
14381705,1455678.0,650204.0,2025-06-03 21:30:00,0.216,0.0
14381705,1455946.0,650204.0,2025-06-03 21:45:00,0.268,0.0
14381705,1456166.0,650204.0,2025-06-03 22:00:00,0.22,0.0
14381705,1456387.0,650204.0,2025-06-03 22:15:00,0.221,0.0
14381705,1456648.0,650204.0,2025-06-03 22:30:00,0.261,0.0
14381705,1456914.0,650204.0,2025-06-03 22:45:00,0.266,0.0
14381705,1457126.0,650204.0,2025-06-03 23:00:00,0.212,0.0
14381705,1457375.0,650204.0,2025-06-03 23:15:00,0.249,0.0
14381705,1457592.0,650204.0,2025-06-03 23:30:00,0.217,0.0
14381705,1457794.0,650204.0,2025-06-03 23:45:00,0.202,0.0
14381705,1458030.0,650204.0,2025-06-04 00:00:00,0.236,0.0
14381705,1458264.0,650204.0,2025-06-04 00:15:00,0.234,0.0
14381705,1458500.0,650204.0,2025-06-04 00:30:00,0.236,0.0
